trial_number,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_criterion,param_class_weight,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
50,234,40,17,6,log2,True,gini,balanced,"[0.9431562361771462, 0.9575396094246468, 0.9580148790325766, 0.9434038407905778, 0.9469472061333158]","[0.7641745882610607, 0.7725605139649981, 0.7661557990775549, 0.7939923045119712, 0.7731842382045128]","[0.9994192010057885, 0.9992433140308583, 0.99944653393184, 0.9994646152616526, 0.9995617235982066]","[2.7067500254439953, 2.7293434374205034, 2.7236172120419715, 2.736860760564202, 2.719693167936035]",0.9498123543116526,0.7740134888040195,0.9994270775656691,2.723252920681342,0.010073904897759814
51,206,48,16,1,log2,True,gini,balanced,"[0.9285276064711355, 0.9530666973195082, 0.9437140612251573, 0.9470777212918167, 0.9542009564087991]","[0.8174400549402709, 0.8580121822723601, 0.8427499080869955, 0.8470542587771116, 0.8560507587710984]","[0.9997502446197585, 0.999653225504386, 0.9997844590363012, 0.9997613068577276, 0.9998284392922109]","[2.7457179060311647, 2.810732105096254, 2.786248428348454, 2.793893286926656, 2.8100801544721086]",0.9453174085432835,0.8442614325695674,0.9997555350620768,2.7893343761749274,0.02375269807486324
52,210,48,16,1,log2,True,gini,balanced,"[0.9285676465111756, 0.9530666973195082, 0.9437140612251573, 0.9470667443434082, 0.9542085174866628]","[0.8179999895850604, 0.8580121822723601, 0.8423062508670224, 0.8468930654920832, 0.8562277862457321]","[0.9997503330432487, 0.9996506486944001, 0.9997838785825088, 0.999759831689256, 0.9998254680215889]","[2.7463179691394846, 2.8107295282862683, 2.7858041906746887, 2.7937196415247474, 2.810261771753984]",0.9453247333771824,0.8442878548924517,0.9997540320062006,2.7893666202758345,0.023570351110124937
53,212,48,16,1,log2,True,gini,balanced,"[0.9285722484439873, 0.9530666973195082, 0.9437140612251573, 0.9470759460917405, 0.9551451195684176]","[0.8181988053776372, 0.8580121822723601, 0.8423062508670224, 0.8471906483501404, 0.8565694688133632]","[0.9997512559707029, 0.9996524068616247, 0.9997862320774993, 0.9997599156435605, 0.9998258486152086]","[2.7465223097923275, 2.810731286453493, 2.785806544169679, 2.7940265100854416, 2.8115404369969896]",0.9455148145297623,0.8444554711361046,0.9997551318337192,2.789725417499586,0.0237381847972997
54,206,44,16,1,log2,True,gini,balanced,"[0.9329109058959264, 0.955373864317543, 0.9480960871239834, 0.9403646033832365, 0.9541136780458546]","[0.8178790513109476, 0.8566167384652087, 0.8416193213819464, 0.8453579897766109, 0.8587370936015253]","[0.9997438938192089, 0.9996463897625958, 0.9998099170286038, 0.9997475311462748, 0.999812382100114]","[2.750533851026083, 2.8116369925453473, 2.7895253255345334, 2.785470124306122, 2.812663153747494]",0.9461718277533088,0.8440420389072478,0.9997520227713593,2.789965889431916,0.02262783317517285
55,218,43,16,1,log2,True,gini,balanced,"[0.9331038723430949, 0.9539296312604183, 0.9507163127550232, 0.9468515373726188, 0.9553044326543558]","[0.818062846117924, 0.8551870464382572, 0.8412232858405091, 0.8453852771503152, 0.8531216667097289]","[0.9997456601763426, 0.9996423061407489, 0.9998068850178993, 0.9997422751285864, 0.9998033732498287]","[2.7509123786373615, 2.8087589838394242, 2.791746483613432, 2.7919790896515204, 2.8082294726139136]",0.9479811572771023,0.8425960244513468,0.9997480999426811,2.79032528167113,0.021064155574297663
56,218,43,19,7,log2,True,gini,balanced,"[0.9430427105373623, 0.9565383899199621, 0.9573894570620055, 0.9400222030196745, 0.9448332754900274]","[0.7608008150407073, 0.7695646877641625, 0.7717500795891985, 0.7764017201562402, 0.7639421704984695]","[0.9993557703946458, 0.9991388853110768, 0.9994218013822828, 0.9994725103197953, 0.9995303440573546]","[2.7031992959727154, 2.7252419629952014, 2.7285613380334865, 2.71589643349571, 2.7083057900458516]",0.9483652072058064,0.7684918946097558,0.999383862293031,2.716240964108593,0.009653811590470431
57,250,25,16,1,log2,True,gini,balanced,"[0.9448421558210233, 0.9577658967234304, 0.9547842770203637, 0.948089781133095, 0.9458303747016166]","[0.7709247987147934, 0.7699764155259029, 0.7996069718494531, 0.7917217815116006, 0.7920394258842512]","[0.9992576546675965, 0.999317762287457, 0.9993873303989907, 0.9993876158141423, 0.9994536543539604]","[2.715024609203413, 2.72706007453679, 2.7537785792688076, 2.739199178458838, 2.737323454939828]",0.9502624970799058,0.7848538786972002,0.9993608035044295,2.7344771792815354,0.01293335631814799
58,224,44,17,1,log2,True,entropy,balanced,"[0.9485061782505383, 0.940656489401685, 0.9432994867837519, 0.9536208325341394, 0.9453303551623233]","[0.8335070875594128, 0.8583151022853095, 0.8404857096099515, 0.853104533960322, 0.8501695294681738]","[0.9996638406429426, 0.999604204896319, 0.9997389542902249, 0.9997353034291386, 0.9998060182733042]","[2.781677106452894, 2.7985757965833136, 2.7835241506839283, 2.8064606699236, 2.7953059029038014]",0.9462826684264876,0.8471163925766338,0.9997096643063859,2.7931087253095073,0.009333133054957712
59,233,44,20,2,log2,True,entropy,balanced,"[0.93517574340922, 0.9582598399812836, 0.9544146788321298, 0.9471071634795423, 0.9570486835554136]","[0.7889229010490637, 0.8273738704431028, 0.825671334033892, 0.8230278662933428, 0.7934723776520554]","[0.9995604805098184, 0.9991828552056657, 0.9995785115262781, 0.9995362160823099, 0.9996286212639837]","[2.723659124968102, 2.7848165656300523, 2.7796645243922997, 2.769671245855195, 2.7501496824714526]",0.9504012218515179,0.8116936698942915,0.999497336917611,2.76159222866342,0.022365600544370853
