trial_number,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
52,0.00019114197329849687,"[0.9118170095846883, 0.9089389214478042, 0.9298514301771565, 0.9489569872679584, 0.8812085175045121]","[0.8582564426695426, 0.8641286072226151, 0.872826473585429, 0.8895289081668569, 0.8481993264083559]","[0.9997567327380371, 0.9996655186830807, 0.9998559050601057, 0.999846498220078, 0.9997693065878329]","[2.769830184992268, 2.7727330473535, 2.802533808822691, 2.8383323936548934, 2.729177150500701]",0.9161545731964239,0.8665879516105598,0.9997787922578268,2.7825213170648104,0.03638090504686999
53,0.00010916000552637481,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.9997580669236455, 0.999667941188704, 0.9998569375014741, 0.9998472303303818, 0.999772094790783]","[2.770898120177079, 2.7803201827759034, 2.8068472341945023, 2.843784883766366, 2.73448542040353]",0.9163438264709247,0.8711428876455536,0.9997804541469977,2.7872671682634764,0.036550650876008235
54,0.00010052486235583312,"[0.9118229284956085, 0.9090894480329779, 0.9299713102970366, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8774160782953234, 0.8949317884584751, 0.8528437850212955]","[0.9997581490706267, 0.9996680993204273, 0.9998570938066281, 0.9998472535098948, 0.9997722247870157]","[2.7708982023240596, 2.7803203409076267, 2.807244482398988, 2.843784906945879, 2.734485550399763]",0.9163518184789167,0.871214314017428,0.9997805640989185,2.787346696595263,0.03659348817101848
55,0.0009169338625240003,"[0.9117450675845363, 0.9088900443949858, 0.9296579514400473, 0.9488086003743308, 0.8810845096303573]","[0.855747372636051, 0.8588854033966856, 0.8625379781032734, 0.8839197207356793, 0.844502007519448]","[0.9997507801155429, 0.9996595878554931, 0.9998522007083517, 0.9998423834367683, 0.9997578438135142]","[2.7672432203361303, 2.7674350356471646, 2.792048130251672, 2.8325707045467783, 2.7253443609633194]",0.9160372346848515,0.8611184964782275,0.9997725591859341,2.776928290349013,0.035126947072851446
56,0.0003796182254990939,"[0.9117450675845363, 0.908895962430198, 0.9296979114800074, 0.9488174780838817, 0.8811591879803116]","[0.8577268296671476, 0.8634649095981599, 0.8646387701441454, 0.8871046230254623, 0.8469127388188865]","[0.9997537361853085, 0.9996635435590168, 0.9998544021995207, 0.9998451370507759, 0.9997631809557297]","[2.7692256334369922, 2.772024415587375, 2.7941910838236734, 2.8357672381601198, 2.727835107754928]",0.916063121511787,0.8639695742507604,0.9997759999900705,2.7798086957526174,0.03524786980803143
57,0.004960809285139286,"[0.9048554404468806, 0.9082560510630975, 0.9296402012736396, 0.9486216410896054, 0.8810634617694969]","[0.8315901839279205, 0.8461374553379002, 0.8433740434433551, 0.8729333618586128, 0.8362515938415589]","[0.9997398721168029, 0.9996465026222761, 0.9998414088973928, 0.999832710080565, 0.9997383192899629]","[2.736185496491604, 2.7540400090232735, 2.7728556536143874, 2.821387713028783, 2.7170533749010186]",0.9144873591285441,0.8460573276818695,0.9997597626013999,2.760304449411813,0.03572203905356496
58,0.0002863218836856552,"[0.9118170095846883, 0.908895962430198, 0.9297437882421035, 0.9489569872679584, 0.8811637925618702]","[0.8582564426695426, 0.8634649095981599, 0.8721786918623189, 0.8895289081668569, 0.8473935389348121]","[0.9997543283842744, 0.9996643146935399, 0.9998552409671504, 0.9998459533879506, 0.9997654728922558]","[2.769827780638505, 2.7720251867218977, 2.8017777210715726, 2.838331848822766, 2.728322804388938]",0.9161155080173635,0.8661644982463381,0.9997770620650342,2.7820570683287356,0.036587758366401005
59,0.000491991025307032,"[0.9117450675845363, 0.908895962430198, 0.9296579514400473, 0.9488115596108478, 0.8810920738863517]","[0.8577268296671476, 0.8634649095981599, 0.8643364175017129, 0.886758629591094, 0.8468767909268259]","[0.9997526275008242, 0.9996619875540547, 0.9998539605783598, 0.9998439405832933, 0.9997619355230134]","[2.769224524752508, 2.7720228595824126, 2.79384832952012, 2.835414129785235, 2.7277308003361913]",0.9160405229903963,0.863832715456988,0.999774890347909,2.7796481287952934,0.03513886114596067
60,0.0008196685425447621,"[0.9117450675845363, 0.9088930034125918, 0.9296579514400473, 0.9488115596108478, 0.8810845096303573]","[0.8575053160113429, 0.8591806797015243, 0.8625379781032734, 0.886758629591094, 0.844502007519448]","[0.9997511853181438, 0.9996607051452312, 0.9998526396836444, 0.9998426437093724, 0.9997582196535578]","[2.769001568914023, 2.7677343882593473, 2.792048569226965, 2.835412832911314, 2.7253447368033634]",0.9160384183356761,0.8620969221853365,0.9997730787019898,2.7779084192230026,0.03592348823196234
61,0.00010641115307856867,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.9997581083225171, 0.9996679414515043, 0.9998569439428318, 0.9998472398279025, 0.9997721170616662]","[2.7708981615759503, 2.780320183038704, 2.80684724063586, 2.8437848932638867, 2.7344854426744134]",0.9163438264709247,0.8711428876455536,0.9997804701212842,2.787267184237763,0.03655064435310858
62,0.00017722895434523866,"[0.9118199690401484, 0.9089389214478042, 0.9298514301771565, 0.9489569872679584, 0.8812515975400312]","[0.8590646549173506, 0.8641286072226151, 0.872826473585429, 0.8895289081668569, 0.8488381302955885]","[0.9997567854178352, 0.9996655645437877, 0.9998560757793719, 0.9998465833962374, 0.99976943678258]","[2.7706414093753344, 2.7727330932142067, 2.8025339795419573, 2.838332478831053, 2.7298591646181998]",0.9161637810946198,0.8668773548375679,0.9997788891839624,2.78282002511615,0.036125310068682505
63,0.00010214252740718006,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.9997581489668609, 0.9996680180849172, 0.9998570913730496, 0.9998472506345318, 0.9997722196004942]","[2.770898202220294, 2.780320259672117, 2.8068473880660774, 2.843784904070516, 2.7344855452132415]",0.9163438264709247,0.8711428876455536,0.9997805457319707,2.7872672598484494,0.036550627322515856
64,0.00017067986517118933,"[0.9118199690401484, 0.9089418804654104, 0.9298514301771565, 0.9489569872679584, 0.8812515975400312]","[0.8590646549173506, 0.8669872407416318, 0.872826473585429, 0.8895289081668569, 0.8488381302955885]","[0.9997569202487164, 0.9996659264494221, 0.9998560842245406, 0.9998467432583091, 0.9997694476252768]","[2.7706415442062156, 2.7755950476564646, 2.8025339879871263, 2.8383326386931245, 2.7298591754608967]",0.916164372898141,0.8674490815413713,0.9997790243612531,2.7833924788007653,0.03598338331756065
65,0.0004729768663124758,"[0.9117450675845363, 0.908895962430198, 0.9296579514400473, 0.9488145188473648, 0.8810920738863517]","[0.8577268296671476, 0.8634649095981599, 0.8643364175017129, 0.8867654719052208, 0.8468767909268259]","[0.9997528444559545, 0.9996620667051194, 0.9998539823145262, 0.9998439697064156, 0.9997619672087923]","[2.7692247417076383, 2.7720229387334774, 2.7938483512562864, 2.8354239604590012, 2.7277308320219698]",0.9160411148376996,0.8638340839198134,0.9997749660781616,2.7796501648356746,0.03514195760369629
66,0.0001665005186648009,"[0.9118199690401484, 0.9089418804654104, 0.9298514301771565, 0.9489569872679584, 0.8812515975400312]","[0.8590646549173506, 0.8669872407416318, 0.872826473585429, 0.8895289081668569, 0.8488381302955885]","[0.9997569226309649, 0.9996659681251705, 0.9998562340421393, 0.9998467828723439, 0.999769756825135]","[2.770641546588464, 2.7755950893322128, 2.8025341378047246, 2.838332678307159, 2.729859484660755]",0.916164372898141,0.8674490815413713,0.9997791328991508,2.783392587338663,0.03598331737783134
